,peopleCd,movieCd,cast
31915,10028517,20152371,문신 이발소주인
31938,10003606,20152371,우체부
31957,20286930,20152371,승무원동료
31971,20233666,20152371,젊은 연아
32003,20193928,20152371,서울역 군인
32117,10054378,20178401,조충
32164,20344608,20178401,색주가청인
32252,20262741,20178401,겸사복2
32389,20360429,20178401,청군병사
32520,20148952,20178401,무칸
32525,10061699,20178401,민승호
32674,20360437,20178401,내금위
32822,20339653,20178401,덩치청군병사
32900,20335288,20178401,황방자객
33010,20280389,20178401,사병
33068,20343349,20178401,덩치기도무사
33213,20360454,20178401,민초
33282,20346998,20178401,내금위
33340,10040575,20178401,사신
33480,20360436,20178401,내금위
33561,20360420,20178401,방울장수
33730,20065011,20178401,사병
33753,20343278,20178401,수장1
33894,20134311,20178401,내금위
33993,20358594,20178401,내금위
34072,20164037,20178401,역관
34199,20179371,20178401,화선당 여인
34333,20360459,20178401,구루타이 목소리
34433,20360458,20178401,민초
34532,20360457,20178401,민초
34632,20360444,20178401,민초
34731,20360456,20178401,민초
34830,20360455,20178401,민초
34928,20360443,20178401,사병
35027,20360453,20178401,사병
35127,20360442,20178401,황방자객
35227,20360441,20178401,황방자객
35326,20360452,20178401,황방자객
35423,20360431,20178401,청군병사
35521,20360430,20178401,청군병사
35618,20360440,20178401,청군병사
35717,20360428,20178401,청군병사
35817,20360427,20178401,화선당 여인
35915,20360439,20178401,내금위
36014,20360438,20178401,내금위
36113,20360426,20178401,내금위
36205,20360425,20178401,민가남자아이
36303,20360435,20178401,어린태옥
36403,20290331,20178401,수장3
36499,20360424,20178401,조선인딸
36599,20360423,20178401,조선인아내
36693,20360421,20178401,구경아낙1
36791,20360419,20178401,내금위부관2
36889,20360418,20178401,화선 호위무사
36983,20360417,20178401,검계2
37080,20360416,20178401,관리
37174,20279229,20178401,겸사복
37273,20355792,20178401,화선
37412,20354652,20178401,수장2
37545,20195941,20178401,청군병사
37588,20349151,20178401,검계1
37693,10005301,20178401,조선인
37781,20144380,20178401,이누치
37925,20344247,20178401,내금위
38024,20288162,20178401,끌려가는여자하인
38100,20343439,20178401,노승
38210,20226987,20178401,겸사복1
38357,20343005,20178401,황방자객
38406,10087395,20178401,내금위부관1
38552,20342750,20178401,청군병사
38647,20341835,20178401,청군병사
38738,20341123,20178401,내금위
38809,20340988,20178401,화선당 하인
38897,20340961,20178401,인조
39073,20340775,20178401,민초
39101,10019055,20178401,검계두목
39233,20199031,20178401,주막손님
39365,20338739,20178401,황방자객
39472,20309093,20178401,사병
39530,20337402,20178401,주막앞 여자아이
39687,10060624,20178401,광해
39724,20335572,20178401,구경아낙2
39809,20332313,20178401,검계부두목
39900,20134082,20178401,이목요
40030,20330865,20178401,낚시꾼자객
40118,20329832,20178401,종사관
40199,20129449,20178401,태옥
40388,20315024,20178401,민초
40440,20319274,20178401,내관
40568,20317100,20178401,청군병사
40654,20316000,20178401,내금위
40795,20315367,20178401,민초
40815,10009565,20178401,서역여인
40973,20286723,20178401,청군병사
41008,10009833,20178401,구루타이
41161,20185879,20178401,내금위
41208,10060612,20178401,태율
41331,20133564,20178401,포도부장
41438,10061990,20178401,이숙
41519,20189357,20178401,우아삼
41648,20179942,20178401,칼자국 자객
41775,20183206,20178401,화선당 여인
41987,20162979,20178401,청군병사
42034,10088364,20178401,집사
42126,10001895,20178401,주모
42379,10054378,20191121,만철
42415,20330746,20191121,육교 사람들
42441,20335273,20191121,
42528,20181686,20191121,텔레마케터 직원들
42577,20335472,20191121,동아리부원
42682,20365404,20191121,텔레마케터
42689,20349172,20191121,인국
42757,20360172,20191121,지하철다툼남
42863,10005691,20191121,고객5
42905,20326553,20191121,육교 사람들
42951,20307756,20191121,텔레마케터 직원들
43013,20360167,20191121,텔레마케터 직원들
43083,20360168,20191121,텔레마케터 직원들
43122,20341520,20191121,지하철다툼녀
43182,20344373,20191121,약사
43287,20360180,20191121,고객2
43342,20360179,20191121,놀이공원 사람들
43400,20360192,20191121,고깃집 손님
43406,20360192,20191121,놀이공원 사람들
43460,20360178,20191121,고깃집 손님
43465,20360178,20191121,놀이공원 사람들
43520,20360171,20191121,카페 손님
43527,20360171,20191121,놀이공원 사람들
43575,20360177,20191121,육교 사람들
43634,20360170,20191121,육교 사람들
43694,20360169,20191121,육교 사람들
43753,20360176,20191121,텔레마케터 직원들
43804,20360174,20191121,텔레마케터 직원들
43864,20360166,20191121,갓난아기
43924,20360173,20191121,오토바이
43982,20360165,20191121,동아리부원
44034,20324473,20191121,지성
44096,20345115,20191121,팀장
44155,20344848,20191121,은지
44215,20358336,20191121,대성
44274,20358292,20191121,종환
44360,20343731,20191121,텔레마케터 직원들
44448,20349101,20191121,고객4
44505,20113258,20191121,순희
44553,20344247,20191121,육교 사람들
44594,20344238,20191121,대성무리들
44649,20344174,20191121,윤희
44744,20343233,20191121,폴라로이드 소녀들
44799,20237947,20191121,키즈카페 손님
44849,20197764,20191121,텔레마케터 직원들
44883,20340656,20191121,
44955,20305211,20191121,후배
45020,20152729,20191121,대성무리들
45152,20336485,20191121,텔레마케터 직원들
45238,10003756,20191121,여선배
45271,20156301,20191121,텔레마케터 직원들
45362,20281370,20191121,고객3
45370,20147101,20191121,
45455,20189691,20191121,텔레마케터 직원들
45521,20164808,20191121,텔레마케터 직원들
45530,20164808,20191121,육교 사람들
45567,10067470,20191121,동아리부원
45632,10054378,20183085,수민오빠
45788,20314413,20183085,횡단보도 행인
45792,10004834,20183085,홍
45933,20343242,20183085,하객
45966,10050782,20183085,원호
46124,20344380,20183085,선술집 손님
46148,20320835,20183085,횡단보도 행인 역
46262,20340977,20183085,진압경찰2
46263,20340977,20183085,횡단보도 행인/커피숍 손님
46346,20340918,20183085,횡단보도 행인 역
46490,20345292,20183085,중학생(군산자양중학교)
46577,20345110,20183085,최교수 학생
46664,20345089,20183085,중학생(군산자양중학교)
46751,20345077,20183085,바이올린
46838,20345015,20183085,최교수 학생
46925,20344956,20183085,첼로
47012,20344915,20183085,여선생
47099,20344840,20183085,최교수 학생
47186,20344789,20183085,중학생(군산자양중학교)
47273,20344615,20183085,어느 술집 손님
47360,20344568,20183085,최교수 학생
47447,20344533,20183085,선술집 손님
47534,20344478,20183085,횡단보도 행인
47621,20344391,20183085,최교수 학생
47707,20344330,20183085,풀룻
47794,20344349,20183085,횡단보도 행인
47881,10058245,20183085,원호 모
47968,20344237,20183085,교도관/횡단보도 행인
48055,20344233,20183085,음악홀 행인/더블베이스
48142,20344226,20183085,최교수 학생
48228,20344125,20183085,비올라
48229,20344125,20183085,음악홀 행인
48315,20344058,20183085,중학생(군산자양중학교)
48402,20343977,20183085,수민 딸
48489,20343637,20183085,바이올린
48576,20343616,20183085,커피숍 알바1
48663,20343450,20183085,횡단보도 행인
48693,10007498,20183085,수민
48750,10007498,20183085,수민
48836,20343177,20183085,하객
48923,20315245,20183085,최교수 학생
49010,20313949,20183085,최교수 학생
49097,20343116,20183085,커피숍 손님
49184,20342942,20183085,중학생(군산자양중학교)
49271,20342914,20183085,수민 남편
49358,20342816,20183085,어느 술집 사장
49445,20342793,20183085,선술집 손님
49532,20342775,20183085,바이올린
49619,20111072,20183085,어느 술집 손님
49706,20320473,20183085,최교수 학생
49793,20342486,20183085,
49879,20342439,20183085,음악홀 행인
49880,20342439,20183085,비올라
49966,20342088,20183085,주례
50052,20341929,20183085,선술집 손님
50139,20341852,20183085,어느 술집 손님/하객
50226,20341685,20183085,횡단보도 행인
50313,20341562,20183085,중학생(군산자양중학교)
50400,20314267,20183085,진압경찰1/횡단보도 행인/커피숍 알바2
50484,20340954,20183085,음악홀 행인
50485,20340954,20183085,바이올린
50571,20340951,20183085,바이올린
50656,20340642,20183085,횡단보도 행인
50743,20340625,20183085,음악홀 행인/바이올린
50830,20320128,20183085,최교수 학생
50917,20317862,20183085,중학생(군산자양중학교)
51004,20339954,20183085,최교수 학생
51091,20339869,20183085,횡단보도 행인
51178,20195572,20183085,어느 술집 손님 역
51265,20339393,20183085,선술집 손님 역
51351,20338925,20183085,중학생(군산자양중학교)
51437,20338469,20183085,선술집 손님
51438,20338469,20183085,맥주집 손님
51524,20232288,20183085,최교수 학생 역
51611,20337283,20183085,백정현
51697,10037206,20183085,최교수
51784,20336865,20183085,어린수민 역
51870,20336209,20183085,중학생(군산자양중학교)
51957,20336135,20183085,중학생(군산자양중학교)
52043,20335720,20183085,하객
52130,20335664,20183085,
52217,10067415,20183085,선기
52303,10060279,20183085,진숙
52400,10054378,20191845,오길주
52459,20221406,20191845,놀이터 아이들
52460,20221406,20191845,놀이터 아이들
52574,20161465,20191845,시장 행인들
52580,20144178,20191845,문귀수
52662,20164537,20191845,박경환
52752,20344713,20191845,영대
52802,20343888,20191845,놀이터 아이들
52843,20341370,20191845,시장 행인들
52934,20344516,20191845,놀이터 아이들
52973,20343113,20191845,충근
53067,20111220,20191845,이형사
53130,20110633,20191845,조사관서기역
53143,20144897,20191845,구사장
53211,20160378,20191845,목사장
53291,20343505,20191845,키스방사장
53366,20113229,20191845,아베크남
53438,20345081,20191845,시장 행인들
53499,20344996,20191845,놀이터 아이들
53560,20180719,20191845,추리닝
53621,20344736,20191845,놀이터 아이들
53681,20344648,20191845,순진한형사
53742,20344603,20191845,놀이터 아이들
53803,20344534,20191845,서정화
53863,20344532,20191845,놀이터 아이들
53923,20344209,20191845,남자의사
53984,20344085,20191845,덩치큰사내
54045,20344000,20191845,시장 행인들
54106,20343961,20191845,시장 행인들
54167,20343918,20191845,껄렁한형사
54227,20343866,20191845,아베크녀
54288,20343779,20191845,놀이터 아이들
54349,20343768,20191845,놀이터 아이들
54410,20343749,20191845,놀이터 아이들
54470,10054064,20191845,쇼걸
54530,20343512,20191845,조사관B
54591,20343452,20191845,놀이터 아이들
54652,10061967,20191845,조사관
54713,20343297,20191845,은재
54774,20343204,20191845,놀이터 아이들
54835,20343165,20191845,놀이터 아이들
54896,20343163,20191845,놀이터 아이들
54955,20342644,20191845,구사장동생
55016,20342635,20191845,
55059,20327492,20191845,윤재호
55077,20327492,20191845,윤재호
55200,20341731,20191845,놀이터 아이들
55260,20341353,20191845,시장 행인들
55321,20340975,20191845,시장 행인들
55382,20189381,20191845,시장 행인들
55442,20340158,20191845,안형사
55503,20339916,20191845,폭력배두목
55564,20339580,20191845,
55625,20339437,20191845,놀이터 아이들
55676,10019043,20191845,남국현
55744,10036875,20191845,흑노파
55801,20178260,20191845,설란
55867,20135278,20191845,한송화
55926,10062116,20191845,태화
56013,10054378,20100296,창우 
56090,20204426,20100296,학도병
56139,20130289,20100296,병태
56144,10071140,20100296,"북한군 대장, 박무량"
56244,10070602,20100296,순경
56251,10002387,20100296,"가짜 학도병, 구갑조"
56309,10026789,20100296,
56406,10049864,20100296,호랑이 간호원
56421,20133487,20100296,풍천 
56466,10006379,20100296,용만
56559,10011390,20100296,Jones 하사
56619,20198506,20100296,인질 인민군 1 
56646,20151989,20100296,인민군 766 부대 
56688,20135520,20100296,광일
56769,20143929,20100296,학도병
56785,10040691,20100296,달영
56878,20189237,20100296,학도병
56920,20159933,20100296,학도병&인민군 저격수2
56965,20152125,20100296,인민군 정찰조2 
57030,20161985,20100296,김준섭 무전병
57091,20207827,20100296,학도병
57101,10004823,20100296,"한국군 대위, 강석대"
57194,20110927,20100296,화란
57220,10003973,20100296,학도병
57259,10072431,20100296,"학도병 중대장, 오장범"
57351,20188471,20100296,학도병
57380,20138662,20100296,재선
57429,20166665,20100296,4중대장
57509,20164879,20100296,인민군 수색조2 
57561,20162892,20100296,강석대 운전병
57612,20160748,20100296,기총부사수
57663,20159995,20100296,학도병
57714,20157613,20100296,학도병
57766,20156491,20100296,기총사수 
57818,20155301,20100296,학도병
57870,20155237,20100296,학도병
57922,20155098,20100296,학도병
57973,20152719,20100296,766부대 기수 
58023,20151899,20100296,인민군 수색조1 
58074,20148809,20100296,학도병 
58126,20147568,20100296,인민군 766 부대
58178,20146404,20100296,학도병
58230,20145805,20100296,학도병
58282,20145533,20100296,인민군 766 부대 
58332,20136486,20100296,부상병
58381,20131236,20100296,인민군 타자병
58431,20111719,20100296,학도병
58483,20125456,20100296,학도병
58538,20124956,20100296,학도병
58602,20344539,20196701,수영코치
58660,20342258,20196701,효정수영 대역
58680,20158488,20196701,수영장회원1
58739,20371258,20196701,여고생
58754,20312540,20196701,현수처
58789,20333032,20196701,남현수
58828,10049950,20196701,심효정
58901,20371278,20196701,책방손님2
58938,20371277,20196701,수영장아이
58978,20371276,20196701,인쇄소직원
59018,20371275,20196701,간호사
59057,20371274,20196701,전단지 남자
59096,10058475,20196701,연행경찰
59132,20371257,20196701,수영장회원2
59160,20371256,20196701,이중호
59236,20344104,20196701,동인전처
59250,20370034,20196701,이간호사
59315,20369854,20196701,효정수영 대역
59327,20369189,20196701,사랑
59366,20125774,20196701,이형사
59442,20367560,20196701,어린사랑
59449,20340658,20196701,식당사장
59497,20123425,20196701,간호실장
59535,20206906,20196701,중호장모
59591,20364093,20196701,노인
59610,10005801,20196701, 고형사
59686,20362705,20196701,병원 환자
59718,20347172,20196701,여경찰1
59749,20343531,20196701,대리기사
59802,10006197,20196701,책방손님1
59826,20172382,20196701,상담사
59874,20342247,20196701,편의점주
59927,10055919,20196701,경비원
59936,10003307,20196701,남동인
59994,20290426,20196701,민원경찰
60047,20314833,20196701,여경찰2
60069,20287531,20196701,중호처
60108,10040685,20196701,중호장인
60175,20216489,20196701,여고생 엄마
60196,20187303,20196701,수간호사
60245,10035402,20196701,난폭운전 남자
60322,20344539,20191221,보이스피싱
60393,20344215,20191221,학부모2
60452,20342791,20191221,마약범
60556,20345160,20191221,수사계장
60632,20344255,20191221,사동주임1
60703,20345130,20191221,교도소 식구들
60715,20345733,20191221,강남 학부모역
60736,20345733,20191221,우처제
60793,20337028,20191221,부장 검사
60927,20290331,20191221,인천지검장
60944,20337462,20191221,단독부 판사
61008,20345716,20191221,MB 대통령
61084,20345717,20191221,사무직원
61220,20345076,20191221,강폭방 식구 룸싸롱 포주
61293,20345056,20191221,봉사원
61366,20345027,20191221,구치소 교도관들 CRPT2
61439,20344992,20191221,항소심 판사
61512,20344944,20191221,차장검사
61585,20344927,20191221,살인범
61658,20344912,20191221,구치소장
61731,20344824,20191221,최순실
61804,20344833,20191221,백골부대원1
61877,20344638,20191221,여검사
61949,20344323,20191221,조폭수발1
62022,20344275,20191221,서산꼴두기
62094,20344187,20191221,묻지마 폭행
62167,20344026,20191221,똘마니
62240,20343905,20191221,구치소장
62313,20343882,20191221,백골부대원2
62386,20343820,20191221,교도소 식구들
62459,20343810,20191221,학부모4
62532,20343576,20191221,호송교도관2
62605,20343467,20191221,구치소 교도관들
62678,20343460,20191221,총무
62751,20343324,20191221,학부모3
62824,20343189,20191221,교도관 식구들 - 소지
62897,20343072,20191221,구치소 교도관 CRPT1
62970,20342971,20191221,영장담당 판사
63043,20342896,20191221,강폭방 식구들
63115,20342437,20191221,절도
63188,20342299,20191221,검찰청 여직원
63261,20342110,20191221,국정원장
63334,20342043,20191221,폭력
63407,20341942,20191221,백골부대원3
63479,20341678,20191221,주폭
63552,20341641,20191221,택시강도
63625,20341632,20191221,주치폭력
63698,20341401,20191221,묻지마 폭행
63771,20341365,20191221,MB대통령
63823,20341354,20191221,강남 학부모역
63844,20341354,20191221,우처제
