,movieCd,movieNm,movieNmEn,openDt,repNationNm,genreCd,companys,watchCd,url,runtime
7035,19800050,하늘이 부를때까지,Until Heaven,19800912,한국,5,한진흥업주식회사,19,https://search.pstatic.net/common?type=ofullfill&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20111212_217%2F13236745256258nXb9_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,95.0
7036,19980021,물위의 하룻밤,A Night On The Water,19980530,한국,1,(주)우림영화,19,,100.0
7037,20090122,로보트 태권 V 90,Robot Taekwon V 90,19900717,한국,9,(주)서울동화엔터프라이즈 ,all,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20111222_228%2F1324504049420whaT3_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,85.0
7038,19880074,호호전,The Story Of Ho-Ho,19881203,한국,2,성도흥업㈜,19,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20120802_254%2F1343872289592htOom_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,103.0
7039,19920049,특명 미녀군단,Special Mission : Beauty Corps,19920704,한국,0,연방영화(주) ,15,https://search.pstatic.net/common?type=ofullfill&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20111212_113%2F1323671254363cCnwE_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,92.0
7040,19920060,늪속의 불안개는 잠들지 않는다,The Swamp Haze Will Not Clear,19920606,한국,1,양전흥업,19,https://search.pstatic.net/common?type=ofullfill&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20111222_70%2F1324508165882BFWIG_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,92.0
7041,19920046,애마부인 7,Madame Emma 7,19920815,한국,19,연방영화(주) ,19,,90.0
7042,19860077,어울렁 더울렁,The Well-Matched,19861115,한국,5,연방영화(주) ,19,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20150413_118%2F1428914531469V4uQj_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,95.0
7043,19910052,에미 이름은 조센삐였다,Your Ma's Name Was Chosun Whore,19911005,한국,5,문태선프로덕션,19,https://search.pstatic.net/common?type=ofullfill&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20190809_58%2F15653295835590QghT_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,105.0
7044,19940055,산딸기 6,Wild Berries 6,19940716,한국,1,(주)서강기획,19,,92.0
7045,19910060,첫날밤에 내린 비,The Rain On The First Night,19911207,한국,5,대성필름,19,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20130822_259%2F1377160787324wX3nL_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,88.0
7046,20090131,춘화춘풍,The Flower And Wind Of Spring,19890314,한국,1,유영필림(주),19,https://search.pstatic.net/common?type=ofullfill&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20111212_142%2F1323674245861MkAy0_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,100.0
7047,19900008,슈퍼맨 일지매,Superman Yiljimae,19900101,한국,5,(주)삼영필림,all,https://search.pstatic.net/common?type=ofullfill&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20111222_258%2F1324499985843PDlpj_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,85.0
7048,19810040,사향마곡,Sa-Hyang-Ma-Kok,19811101,한국,5,태창흥업,12,https://search.pstatic.net/common?type=ofullfill&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20111222_261%2F1324499354286deHf7_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,90.0
7049,20060233,플라이트93,United 93,20060908,미국,4,유니버셜 픽쳐스,15,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20111222_13%2F1324525640496wKhQl_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,110.0
7050,19820092,인자문살수,Duel Of In-Ja Hall,19820814,한국,2,국제,12,,95.0
7051,19790003,최후의 정무문,The Last Of Jung-Mu Martial Arts Hall,19790113,한국,0,(주)화천공사,12,,110.0
7052,20081605,"용서, 그 먼 길 끝에 당신이 있습니까",Forgiveness-The Endless Journey Salvation,20081106,한국,6,㈜에스비에스,12,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20111222_18%2F1324521184938by6Py_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,100.0
7053,19940037,자정이후,After Midnight,19941001,한국,1,백성시네마,19,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20111221_71%2F1324460822801KzSAx_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,102.0
7054,20119143,딸라,The Heist,19720701,미국,7,콜럼비아 픽쳐스 코포레이션,all,,121.0
7055,20070287,알게 될 거야,You Will Know,20070702,한국,5,한국예술종합학교 미디어콘텐츠센터,all,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20111212_137%2F13236759216768FVut_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,22.0
