,movie,sentence,score,movieCd,movieNm
4570,자백,김윤진이 선재 엄마라는게 알려진 순간 이미 결말을 알아버렸고 나의 슬펐던 감정과 모든 감정들이 메말라버렸다.. 아마 그걸 느끼는 사람도 있지 않을까??? ,5,20163041,자백
4571,자백,영화  볼만해요^^  원작은  안봤지만  연기가  훌륭하고  몰입도  좋고반전도  있어서  강추천  해요!!,10,20198429,자백
4572,자백,영화  볼만해요^^  원작은  안봤지만  연기가  훌륭하고  몰입도  좋고반전도  있어서  강추천  해요!!,10,20163041,자백
4573,늑대사냥,영화 한 편 만드는게 이렇게 허접한 일인가 싶다.정신병자 감독에  멍청한 투자사에 의해 탄생 당한 영화.보는 동안 배우가 불쌍해서 ... ,1,20211472,늑대사냥
4574,리멤버,연기 좋네요. 우리시대 꼭 필요한 사람..,8,20198461,리멤버
4575,깊고 푸른 밤,아! 아메리칸 드림이여,7,20080693,깊고 푸른 밤
4577,대무가,아 돈아까워....ㅠㅠ,1,20208101,대무가
4579,리멤버,역시 믿고보는 이성민배우님의 연기력에 또 한번 감탄했습니다.!! 강추에요^^,10,20198461,리멤버
4580,늑대사냥,ㅋ진짜 다 좋은데서인국이 주인공 이었으면 어땟을까ㅋㅋㅋ스토리 너무 잘못 짠듯...조금만 고쳤어도 완벽했다,10,20211472,늑대사냥
4583,인생은 아름다워,걍 그럭저럭 보기 좋은 영화,5,19990140,인생은 아름다워
4585,공조2: 인터내셔날,걍 가볍게 보기 좋은 영화,6,20215601,공조2: 인터내셔날
4586,정직한 후보2,걍 가볍게 보기 좋은 영화,6,20219628,정직한 후보2
4589,정직한 후보2,오랜만에 엄청 많이 웃었습니다,10,20219628,정직한 후보2
4592,홈리스,현실적으로 내가 극중 남자라면 충분히 그럴거같음. 솔직히 바닥인생 잘해주면 결국 바닥이라는 지극한 현실도 느껴져서 마음이 좋진않네,8,20209934,홈리스
4594,리멤버,생각없이봤는데  오늘개봉 ㅎㅎ 좋았음... 연기잘해 ?,10,20198461,리멤버
4595,늑대사냥,정말 더럽고 역겨워서 이걸 영화라고 만들었나 하면서 도대체 이 그지같은 얘길 어떻게 끝낼까하면서 끝까지 봤네요슬래셔도 아니고 액션도 아니고 대체 그많은 피바다를 뿜어내서 무슨 얘길 하고싶었던걸까 아직 안보셨다면 시작을 안하시는걸 강추합니다,2,20211472,늑대사냥
4596,리멤버,이성민 배우님의 연기가 참 좋았습니다,10,20198461,리멤버
4597,자백,역사를 모르는 자에겐 미래가 없죠친일파 처단이 안된것이 우리 역사의 슬픔이네요영화만으로 만족해야하는 현실,10,20198429,자백
4598,자백,역사를 모르는 자에겐 미래가 없죠친일파 처단이 안된것이 우리 역사의 슬픔이네요영화만으로 만족해야하는 현실,10,20163041,자백
4599,자백,원작에 충실한 영화. 결말을 알고 봤지만 재밌었음,7,20198429,자백
4600,자백,원작에 충실한 영화. 결말을 알고 봤지만 재밌었음,7,20163041,자백
4601,늑대사냥,진짜   뭐지  이 영화 감독  얼굴 함  보고싶네  뭔  생각으로  영화를  이리  만들었노?  진짜 답없다  ,2,20211472,늑대사냥
4603,자백,와 진짜 레전드 올해 개봉작 중 범죄도시2랑 가장 재밌게 봤어요 ㅋㅋ특히 김윤진 배우분 연기가 미친듯,10,20198429,자백
4604,자백,와 진짜 레전드 올해 개봉작 중 범죄도시2랑 가장 재밌게 봤어요 ㅋㅋ특히 김윤진 배우분 연기가 미친듯,10,20163041,자백
4609,인생은 아름다워,저희 가족이 생각나 감동적이였습니다,10,19990140,인생은 아름다워
4610,리멤버,할아버지와 손자의 안타깝고도 유쾌한 조화.,10,20198461,리멤버
4611,정직한 후보2,볼려고 했는데 어떤놈이 자기 이야기라해서...패쓰할랍니다,2,20219628,정직한 후보2
4612,리멤버,허술함이 보이지만 그걸 상쇄시키는 배우의 연기,8,20198461,리멤버
4613,리멤버,전형적인 반일 선전선동영화,1,20198461,리멤버
4615,리멤버,볼까 말까 고민중이면 보는게 좋을거 같음,10,20198461,리멤버
4616,자백,시계 한 번 안 보고 집중해서 본 영화,10,20198429,자백
4617,자백,시계 한 번 안 보고 집중해서 본 영화,10,20163041,자백
4618,자백,김윤진님 ㅅ발음 너무 새고 연기도 그닥...~세요 자꾸 끝을 낮게 말하는 게 넘 거슬렸음,4,20198429,자백
4619,자백,김윤진님 ㅅ발음 너무 새고 연기도 그닥...~세요 자꾸 끝을 낮게 말하는 게 넘 거슬렸음,4,20163041,자백
4623,자백,와. 몰입감 죽여줌 간만에 한국 명작,10,20198429,자백
4624,자백,와. 몰입감 죽여줌 간만에 한국 명작,10,20163041,자백
4625,공조2: 인터내셔날,시간가는줄모르고 봤네요 재밌어요~!,10,20215601,공조2: 인터내셔날
4626,자백,"사운드 좋고, 화면 좋고배우들 연기도 볼만하네요.집중하고 잘 봤습니다.범인은!!!!",10,20198429,자백
4627,자백,"사운드 좋고, 화면 좋고배우들 연기도 볼만하네요.집중하고 잘 봤습니다.범인은!!!!",10,20163041,자백
4628,자백,원작보다 캐릭터성이 확실함 특히 김세희역의 나나가 매우 매력적임... 얼굴이 너무 예뻐서 연기가 오히려 과소평가되는 경향이 있는 배우라 생각하게 됨,10,20198429,자백
4629,자백,원작보다 캐릭터성이 확실함 특히 김세희역의 나나가 매우 매력적임... 얼굴이 너무 예뻐서 연기가 오히려 과소평가되는 경향이 있는 배우라 생각하게 됨,10,20163041,자백
4630,나는 전설이다,원작고증이 전혀안됐음,2,20070550,나는 전설이다
4632,자백,남자들은 단발의 나나만 봐도 티켓값 만원치는함,10,20198429,자백
4633,자백,남자들은 단발의 나나만 봐도 티켓값 만원치는함,10,20163041,자백
4634,자백,어디서 본 듯한 내용이긴 하나 재미 있었어요..,8,20198429,자백
4635,자백,어디서 본 듯한 내용이긴 하나 재미 있었어요..,8,20163041,자백
4636,자백,꽉찬 밀도감!,10,20198429,자백
4637,자백,꽉찬 밀도감!,10,20163041,자백
4639,늑대사냥,....도저히 끝까지는 못보겠다왜 이렇게 잔인하게 만들었을까순둥순둥한 이미지 배우들 데리고 뭐하는고야 ㅜㅜ도라에몽으로 사탄의 인형을 찍는 느낌,2,20211472,늑대사냥
4640,리멤버,연기도 좋고 연출도 좋습니다.두시간이 금방 갔어요~,10,20198461,리멤버
4641,자백,배우들 연기 미쳤다.반전에 반전이 있는 영화,8,20198429,자백
4642,자백,배우들 연기 미쳤다.반전에 반전이 있는 영화,8,20163041,자백
4644,리멤버,한국영화는 왜 쿠키가 없나 이성민배우님 마지막표정을 쿠키로 상영했더라면 반전도 되고 감명깊었을듯,8,20198461,리멤버
4645,늑대사냥,믿고 거르는 김홍선 영화,1,20211472,늑대사냥
4648,타짜,지금 개봉했다면 2000만짜리 영화다!,10,20060277,타짜
4653,강철비2: 정상회담,살다살다 이런개쓰레기 영화는 처음이다 와....,2,20196271,강철비2: 정상회담
