,peopleCd,peopleNm,repRoleNm,filmoNames,movieCd
43235,20112191,우문기,감독,소공녀,20173962
43236,20112542,전고운,감독,소공녀,20173962
43237,20162031,이요섭,감독,소공녀,20173962
43238,10052574,월터 랭,감독,소공녀,20173962
43254,20254416,이순범,감독,현기증,20141609
43255,10055132,이돈구,감독,현기증,20141609
43256,10045335,알프레드 히치콕,감독,현기증,20141609
43283,20188088,오인천,감독,소녀괴담,20147931
43284,20155901,윤정진,감독,소녀괴담,20147931
43307,10060672,장훈,감독,신이 보낸 사람,20136043
43308,20114292,김진무,감독,신이 보낸 사람,20136043
43340,20125803,문현성,감독,코리아,20124045
43341,10040399,신상옥,감독,코리아,20124045
43342,10061971,정영삼,감독,코리아,20124045
43343,10053590,유두연,감독,코리아,20124045
43344,10058040,이해랑,감독,코리아,20124045
43378,20171962,유용지,감독,하모니,20090914
43379,20164846,김용완,감독,하모니,20090914
43380,10000533,강대규,감독,하모니,20090914
43381,10054492,윤제균,감독,하모니,20090914
43382,10003489,김휘,감독,하모니,20090914
43397,20276669,정형석,감독,창간호,20195963
43398,20351585,김홍기,감독,창간호,20195963
43399,20313295,하수민,감독,창간호,20195963
43400,20313296,정인희,감독,창간호,20195963
43423,20122905,이진우,감독,울보,20158742
43428,10081807,팀 스토리,감독,톰과 제리,19930402
43429,10086267,필 로만,감독,톰과 제리,19930402
43432,10051184,올리버 스톤,감독,월드 트레이드 센터,20060262
43486,20330292,곽정,감독,서치 아웃,20206190
43504,20305089,박진영,감독,배반의 장미,20184678
43550,20189625,배기원,감독,나는 원래 대전에서 로맨틱 코미디를 찍으려고 했었다,20190804
43608,20380200,정재훈,감독,김군,20181104
43609,20193013,강상우,감독,김군,20181104
43621,20112360,소재익,감독,로또쉐어,20206464
43648,10054878,이규만,감독,리턴,20070289
43649,20114792,이종석,감독,리턴,20070289
43650,20235306,최석원,감독,리턴,20070289
43651,10043285,안드레이 즈비아긴체프,감독,리턴,20070289
43652,20157483,임일진,감독,리턴,20070289
43653,20263844,미사와 타쿠야,감독,리턴,20070289
43657,20191566,이상호,감독,전투왕,20223326
43661,20303829,장영주,감독,5.18 힌츠페터 스토리,20183381
43662,20206966,김용운,감독,5.18 힌츠페터 스토리,20183381
43678,10001718,고은기,감독,타클라마칸,20173995
43695,10040434,신수원,감독,명왕성,20120110
43696,10036861,손승현,감독,명왕성,20120110
43697,20184561,오세인,감독,명왕성,20120110
43698,20307529,이도경,감독,명왕성,20120110
43717,10003697,김기동,감독,R2B: 리턴투베이스,20124049
