num,movie,sentence,score
95,늑대사냥,이야기의 개연성도 없고 죽이는 이유도 없다. 그냥 죽인다. 감독이나 각본가 둘다 범죄자는 그냥 사이코패스로 아는 것 같다. 경찰은 병신이고 범죄자는 그냥 돌아이 병신에 피가 물처럼 흐르면 액션인 줄 아는 감독과 연출,1
96,블랙 아담,킬링타임용.더락의 존재감! 다시 한 번 더 입증! 액션씬 죽여줌.그런데 스토리에서 오글거리는 부분이 좀 있음.그 이외 DC에서 나온 것 치곤 괜찮아요~ 다크하지도 않고.,8
97,기기묘묘,이런 독립영화가 많이 제작됐으면 좋겠습니다,7
98,블랙 아담,사실 DC영화는 망해간다고 느꼈는데 오랜만에 진짜 재밌게 본 영화슬로모션이 많긴하지만 DC스러운 느낌이라 좋았고 캐릭터성도 다 좋았음,9
99,해리 포터와 마법사의 돌,하하 20년 전 영화라도 신선하고 재밌네요 ㅎㅎ ,10
100,공조2: 인터내셔날,유쾌 상쾌 통쾌,10
101,2009 로스트 메모리즈,당시 친구 대흥행으로 동건형님의 다음 행보라 봤지만 지금 이런 소재였음 흥행했을 가능성 매우 높다고 봄. 거기다 당시 잘 나가던 동건형님 타이틀까지 붙었으니,9
102,클레멘타인,충격적인 사실을 폭로합니다. 중국의 네티즌들이 &amp;lt;클레멘타인&amp;gt;이 중국 영화명작이라 주장하고 있습니다. 김치.백두산.한복에 이어서 이젠.. 오냐! 싸우자!,10
103,만델라 이펙트,불면증 치료 영화,1
104,여름 이야기,&amp;lt;여름 이야기&amp;gt;란 제목의 영화에 기대했던 모든 것이 펼쳐진다,8
105,수프와 이데올로기,마치 우리 가족인듯 영화 내내 울다가 웃다가 현대사를 곱씹게 됩니다,10
106,카사블랑카,"명작이다. 잉그리드 버그만과 험프리 보가트의 미모와 잘생김, 연기 호흡과 마지막 결말에 반했다. 명작이 명작인 건 이유가 있다.",10
107,리멤버,또또 좌파 영화나왔네중공공산당간첩이 주적이여야할 시기에 ㅋㅋㅋ친일파 나쁘지 ㅇㅇ 근데친일파보다 더나쁜기 중공 공산당 간첩인데 ㅋㅋ허구한날 친일파 ㅋㅋ 문통령님 아버지곡물수탈하며 공무원했던거 자꾸 들춰내네,1
108,늑대사냥,동일이형 아무리 입금되면 다 한다지만  가릴건 좀 가리자 이딴걸 왜 찍어 ,1
109,여고생 시집가기,참재밋노참재밋노참재밋노,1
110,늑대사냥,내 생에 최악의 영화 탑 7,1
111,인생은 아름다워,"ost도 너무좋고류승룡배우님,염정아배우님 연기도 너무좋고아들이 거짓말부를때도 눈물이ㅜ아이들하고 한번더 봐도 좋겠다싶어요재밌기도하고 감동도있고 오랜만에 좋은뮤지컬영화본것같아요♡",10
112,리멤버,역겨운 좌빨 국뽕영화 안본다,1
113,라이더스 오브 저스티스,복수극에 B급감성을 넣었다????일단 나한텐 성공작,10
114,자백,지리누,9
115,영웅본색,리멤버 홍콩... 그시절 전성기를 알리는 홍콩영화의 기념비적 작품 배우들 하나하나가 전설적 인물들로 감회가 새롭다 개인적으로 탑건과 함께 청춘을 함께했던 영화로 인생픽 명예의 전당속에 헌정된 명작,10
116,리멤버,80세 치매노인 이라기엔 기억력이 너무 좋고액션도 007을 능가함 이래도 되나? ㅎㅎ,7
117,리멤버,재밌게 봤어요 연기 모두 좋아요~,10
118,죽어도 자이언츠,아주라 군단!,10
119,말모이,우리말을 지켜주신 이야기를 영화로 만들어주셔서 감사합니다.,10
120,머큐리,스릴러를 가장한 액션영화,7
121,자백,잘 봤습니다  볼만한 영화 임니다,10
122,국제시장,투쓰섬업!투쓰섬업!!,5
123,리멤버,영화 재밌게 잘 봤습니다.,6
124,20세기 소녀,해피엔딩중독자라 그런지 결말 매우 아쉽.. 결말만 아니었어도 인생영화였다,9
125,레이디스 나잇,유치하고 막장이지만 이게 바로 미국식 병맛 코미디의 진수..,7
126,자백,집중해서 보게고 영화 내용흐름이 재밌음,10
127,20세기 소녀,연기력과 영상미가 모두 좋았던  영화~~~  오랜만에 옛 감상으로 빠져들게한 영화!!  벌써  4번째 보눈 중~~^^,10
128,자백,근래들어 본영화중에 최고두번보면 무언가 숨은 요소들이 보일것같은 기분,10
129,치어 댄스,유치하고 오글거리고 뻔한 전개. 치어리더의 성장을 다룬 영화인데도 인상적인 공연무대 한 번 나오지 않음ㅋ 출전하는 장면만 나오고 곧바로 그 결과를 대사로 처리해버림ㅎㅎ 그냥 아마추어 댄스동아리가 연습하는 장면들이 전부.. 하지만 귀여운 학생들이 발랄하게 뛰는 모습에 별 2개 드립니다. ,4
130,카터,먼내용이야 도데체 ㅋㅋㅋㅋ,1
131,정직한 후보2,2보다는 1이 재밌었지만 2도 재밌어요,8
132,자백,배우들의 연기가 빛났고 탄탄한 스토리에 끝까지 집중해서 재밌게 잘 봤습니다~ 잼나요ㅎㅎ,10
133,맨 오브 스틸,형님 복귀하셨다 가즈아!!!,10
134,20세기 소녀,김유정은 아역부터 현재까지 그리고 앞으로도 우리나라 대표 여배우가 되겠다,10
135,늑대사냥,시체에 오줌싸고 남자오럴등 토나토는 극악무도한 장면의 연속~ 감독 출연진 정신감정이 시급한 이런 오물영상은 당장 폐기해라,1
136,공조2: 인터내셔날,지루할틈 없이 코믹과 액션이 잘 만들어진 영화.속편이 스케일도 크고 더 재미있음.마지막 장면 보니 3편도 나올기세...,9
137,늑대사냥,범죄도시 마동석 vs 흑화한 최귀화,6
138,에브리씽 에브리웨어 올 앳 원스,멀티버스를 소재로 심오한 인생 이야기를 유쾌하게 엮어낸 삶의 철학 이야기로 느꼈어요. 삶의혼돈에 굴하지 않고 자신한계를 극복함으로써 유쾌하게 삶을 긍정하는  아모르파티 정신을 잘 연출한것 같아요 어려운 이야기를 잘 연기해준 배우들에게도 찬사를 보냅니다 ,10
139,헤어질 결심,최고강추꼭 보세요.,10
140,그린 북,마지막 흑인전용 식당씬에서 돈 셜리가 자유로운 음악인 째즈를 처음으로 흥이나게 연주하는 씬에서 감동이더라,10
