,movieCd,auditNo,watchGradeNm
0,20160743,2020-MF00511,12세이상관람가
0,20216843,2021-MF00591,12세이상관람가
0,20040487,2004-F094,18세관람가
0,20203204,2021-MF00048,12세이상관람가
0,20196775,2020-MF01314 ,12세이상관람가
0,20201691,2021-MF00610,12세이상관람가
0,20216894,2021-MF00661,15세이상관람가
0,20132799,2014-MF00810 ,15세이상관람가
0,20185201,2019-MF02083,15세이상관람가
0,20216673,2021-MF00605,12세이상관람가
0,20181172,2021-MF00181 ,15세이상관람가
0,20217825,2021-MF01036,12세이상관람가
0,20040462,2004-F029,12세관람가
1,20040462,2021-MF00617,12세이상관람가
0,20217467,2021-MF00436 ,청소년관람불가
0,20217170,2021-MF00583,청소년관람불가
0,20050214,K97-27,12세 미만인 자는 관람할 수 없는 등급
0,20050097,97-60,중학생이상관람가
0,20217384,2021-MF00848,15세이상관람가
0,20173995,2018-MF00425,청소년관람불가
0,20133569,2013-MF00624 ,청소년관람불가
0,20010092,2001-F376,15세관람가
0,20214867,2021-MF00129 ,12세이상관람가
0,20190323,2020-MF02827,12세이상관람가
0,19770088,,12세이상관람가
1,19770088,1223,국민학생관람불가
2,19770088,2017-MF00220,12세이상관람가
0,20201692,2020-MF02792,12세이상관람가
0,19900204,90-115,연소자관람가
1,19900204,2016-MF01113,12세이상관람가
0,20192621,2020-MF00967,12세이상관람가
0,20196201,2020-MF01267 ,12세이상관람가
0,19990068,99-F058,12세관람가
0,20199541,2020-MF03083,15세이상관람가
0,20080834,2008-F290,15세이상관람가
0,20060387,2006-F378,12세이상관람가
0,20060077,2006-F064,12세관람가
0,20080142,2008-F78,15세이상관람가
0,20090307,2009-F235,12세이상관람가
0,20129368,2013-F121,15세이상관람가
0,20193013,2019-MF01308,전체관람가
0,20181983,2020-MF02554,12세이상관람가
0,20030092,2003-F173,15세관람가
0,20040559,2004-F151,15세관람가
0,20175601,2017-MF00790,전체관람가
0,20188421,2019-MF02572,12세이상관람가
0,20000011,2000-F135,12세관람가
0,20159161,2015-MF00582 ,청소년관람불가
0,19980009,K98-300,15세 미만인 자는 관람할 수 없는 등급 
0,20020058,2002-F040,15세관람가
0,20050045,2005-F092,전체관람가
0,20050292,2005-F302 ,15세관람가
0,20060229,2006-F224,전체관람가
0,20060272,2006-F279 ,15세관람가
0,20071060,2008-F204,15세이상관람가
0,20061223,2008-F406,15세이상관람가
0,20010037,2001-F110,18세관람가
0,20030108,2003-F144,18세관람가
0,19990053,99-F182,18세관람가
0,20000021,2000-F067,18세관람가
0,20020049,2002-F266,전체관람가
0,20028542,,18세관람가
0,20040774,2004-F360,15세관람가
0,20050007,2005-F015,15세관람가
0,20050344,2006-F045,18세관람가
0,20060100,2006-F098,18세관람가
0,20070382,2007-F546,전체관람가
0,20136802,2014-MF01092 ,12세이상관람가
0,19970014,97-263,고등학생이상관람가
0,19980030,K98-77,18세 미만인 자는 관람할 수 없는 등급
0,20181162,2020-MF01619 ,12세이상관람가
0,20214963,2021-MF00046,12세이상관람가
0,20181166,2019-MF02673,15세이상관람가
0,20196800,2020-MF00341 ,12세이상관람가
