,movieCd,movieNm,movieNmEn,prdtYear,openDt,typeNm,prdtStatNm,nationAlt,genreAlt,repNationNm,repGenreNm,directors,companys
3252,20100211,다이노 타임,Dino Time,2012.0,20150430.0,장편,개봉,"한국,미국","애니메이션,어드벤처,코미디",한국,애니메이션,최윤석,주식회사 토이온
3253,20157587,파울볼,WONDERS,2014.0,20150402.0,장편,개봉,한국,다큐멘터리,한국,다큐멘터리,조정래,(주)티피에스컴퍼니
3254,20124052,비단꽃길,The Silk Flower,2011.0,20131017.0,장편,개봉,한국,다큐멘터리,한국,다큐멘터리,김정욱,주식회사 마운틴픽쳐스
3255,20126004,비념,Jeju Prayer,2012.0,20130403.0,장편,개봉,한국,다큐멘터리,한국,다큐멘터리,임흥순,반달
3256,20125289,부귀영화,Open To You,2012.0,20121025.0,장편,개봉,한국,공포(호러),한국,공포(호러),인진미,버진필름
3257,20124917,복숭아나무,The Peachtree,2012.0,20121031.0,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,구혜선,구혜선 필름
3258,20090289,보트,The Boat,2009.0,20090528.0,장편,개봉,"한국,일본","드라마,액션",한국,드라마,김영남,(주)크라제픽쳐스
3259,20125247,벌거숭이,A Mere Life,2012.0,20130926.0,장편,개봉,한국,"범죄,드라마",한국,범죄,박상훈,이닥픽쳐스
3260,20124060,범죄소년,Juvenile Offender,2012.0,20121122.0,장편,개봉,한국,드라마,한국,드라마,강이관,국가인권위원회
3261,20124047,백프로,Mr. Perfect ,2011.0,20140403.0,장편,개봉,한국,"코미디,드라마",한국,코미디,김명균,(주)시네마제니스 
3262,20124935,박수건달,Man on the Edge,2012.0,20130109.0,장편,개봉,한국,코미디,한국,코미디,조진규,주식회사 제이앤피
3263,20112791,바비,Barbie,2011.0,20121025.0,장편,개봉,한국,드라마,한국,드라마,이상우,(주)엘앤유인디컴미디어
3264,20149819,바리새인,A Pharisee,2014.0,20140925.0,장편,개봉,한국,드라마,한국,드라마,정영배,(주)마고필름
3265,20111087,불륜의 시대,From Seoul To Varanasi,2011.0,20130214.0,장편,개봉,한국,"멜로/로맨스,드라마",한국,멜로/로맨스,전규환,(주)트리필름
3266,20113308,미스진은 예쁘다,Beautiful Miss Jin,2013.0,20130314.0,장편,개봉,한국,드라마,한국,드라마,장희철,문화예술사업단 BIKI
3267,20148631,미라클 여행기,Mira Story,2014.0,20150115.0,장편,개봉,한국,다큐멘터리,한국,다큐멘터리,허철,미라클필름
3268,20131661,미국인친구,An American Friend,2013.0,20140612.0,장편,개봉,한국,드라마,한국,드라마,성지혜,영화사 매화
3269,20136058,무서운 이야기 2,Horror Stories II,2013.0,20130605.0,옴니버스,개봉,한국,"미스터리,공포(호러)",한국,미스터리,김성호,(주)수필름
3270,20124349,무서운 이야기,Horror Stories,2012.0,20120725.0,옴니버스,개봉,한국,공포(호러),한국,공포(호러),정범식,(주)수필름
3271,20125231,멜로,Melo,2012.0,20140424.0,장편,개봉,한국,드라마,한국,드라마,이로이,(주)플러스에프픽쳐스
3272,20133803,망원동 인공위성,The Basement Satellite,2014.0,20150205.0,장편,개봉,한국,다큐멘터리,한국,다큐멘터리,김형주,플레인 픽처스
3273,20137584,말하는 건축 시티:홀,City: hall ,2012.0,20131024.0,장편,개봉,한국,다큐멘터리,한국,다큐멘터리,정재은,영화사 못
3274,20136864,마녀,The Wicked,2013.0,20140911.0,장편,개봉,한국,"공포(호러),스릴러,드라마",한국,공포(호러),유영선,주식회사 흰수염고래영화사
3275,20125827,로사 ,Rosa,2014.0,20140529.0,장편,개봉,한국,드라마,한국,드라마,맹관표,예스 프로덕션
3276,20112841,로맨스 조,Romance Joe,2011.0,20120308.0,장편,개봉,한국,"드라마,코미디",한국,드라마,이광국,(주)보리픽쳐스
3277,20137550,레바논 감정,Lebanon Emotion,2012.0,20140227.0,장편,개봉,한국,"스릴러,드라마,멜로/로맨스,액션",한국,스릴러,정영헌,씨네키드 고야
3278,20127597,뜨거운 안녕,Rockin' on Heaven's Door,2013.0,20130530.0,장편,개봉,"한국,일본",드라마,한국,드라마,남택수,(주)홍필름
3279,20124061,두 번의 결혼식과 한 번의 장례식,Two Weddings and a Funeral,2012.0,20120621.0,장편,개봉,한국,"코미디,멜로/로맨스",한국,코미디,김조광수,청년필름(주)
