,movieCd,movieNm,url
54,20090023,작전,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20111223_102%2F1324585715572s9HYe_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2
55,20168247,종로3가역2번출구,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20170314_298%2F1489453768640RP2AO_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2
56,20173612,메소드,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20171013_97%2F1507885023349xzTcV_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2
57,20159648,"고산자, 대동여지도",https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20160830_267%2F1472533825556VNMmB_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2
58,20158705,서울야행,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20150810_190%2F14391712732859ngS0_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2
59,20081648,장례식의 멤버,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20111222_218%2F132456028346633syP_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2
60,20218527,이공삼칠,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20220523_61%2F1653285537363ygChA_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2
61,20191422,공수도,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20200218_234%2F1581990954625bPxTq_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2
62,20185341,마녀,
63,20136864,마녀,
64,20188441,킹메이커,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20220126_227%2F1643182432127j8nuq_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2
65,20183782,기생충,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20190528_36%2F1559024198386YVTEw_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2
66,20188421,미스터 주: 사라진 VIP,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20200122_11%2F15796766202282GrU2_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2
67,20197846,악질경찰,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20190312_100%2F1552354595583gzgz1_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2
68,20170658,PMC: 더 벙커,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20181205_284%2F1543974277191S4IrC_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2
69,20161681,미옥,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20171109_234%2F1510190908090cpY8y_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2
70,20161726,임금님의 사건수첩,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20170426_111%2F14931684846956pCQV_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2
71,20142855,성난 변호사,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20151008_292%2F1444285146770iilaH_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2
72,20130442,끝까지 간다,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20140424_211%2F1398315678038omnHU_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2
73,20137041,우리 선희,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20130809_3%2F1376017813481RzK9M_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2
74,20121741,누구의 딸도 아닌 해원,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20130122_247%2F13588212699202NGbf_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2
75,20113554,내 아내의 모든 것,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20120410_260%2F1334042315984vD8vj_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2
76,20124050,화차,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20120220_121%2F13297199672554wCnW_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2
77,20119619,체포왕,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20111223_298%2F1324636015312ujFMa_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2
78,20101221,쩨쩨한 로맨스,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20111223_272%2F1324627884224BolLz_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2
79,20100787,옥희의 영화,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20111223_112%2F1324621242386kfU7r_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2
80,20090667,파주,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20111223_152%2F1324594912744iqA2S_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2
81,20081718,로맨틱 아일랜드,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20111223_187%2F1324574136001wpta0_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2
82,20080052,밤과 낮,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20160111_144%2F1452475164520LhLcv_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2
83,20072520,우리 동네,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20111222_188%2F1324561111276uBr05_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2
