,movieCd,showTime
449,20060138,118.0
450,20050345,124.0
451,20050332,95.0
452,20040484,105.0
453,20030100,97.0
454,20010007,112.0
455,20000046,106.0
456,20110183,115.0
457,20192101,109.0
458,20175527,112.0
459,20165444,102.0
460,20160522,113.0
461,20081132,98.0
462,20136064,129.0
463,19720089,104.0
464,20148447,121.0
465,20126001,75.0
466,20121072,45.0
467,20200474,116.0
468,19870108,125.0
469,20184621,103.0
470,20153444,112.0
471,20148855,107.0
472,20133322,132.0
473,20136057,126.0
474,20124937,121.0
475,20126407,97.0
476,20113532,115.0
477,20100209,163.0
478,20100300,92.0
479,20080736,127.0
480,20080399,96.0
481,20070421,120.0
482,20070111,103.0
483,20070084,113.0
484,20060338,121.0
485,20060277,139.0
486,20060093,109.0
487,20050333,119.0
488,20050189,106.0
489,20050076,119.0
490,20040786,149.0
491,20040595,101.0
492,20040441,104.0
493,20030153,118.0
494,20030052,124.0
495,20010094,114.0
496,20020277,94.0
497,20020220,120.0
498,20020204,108.0
499,20020065,135.0
500,20010017,155.0
501,20010027,119.0
502,19990067,113.0
503,19970018,120.0
504,19850019,85.0
505,20149266,109.0
506,20129370,128.0
507,20136062,124.0
508,20121464,96.0
509,20119687,101.0
510,19850067,100.0
511,20136058,95.0
512,20177308,114.0
513,20165748,116.0
514,20119719,85.0
515,20119507,105.0
516,19820019,113.0
517,20112212,95.0
518,20090076,113.0
519,20060015,116.0
520,20040775,98.0
521,20040586,109.0
522,20210029,74.0
523,20217391,114.0
524,20139981,114.0
525,20124082,132.0
526,20101190,97.0
527,20207498,120.0
528,20191282,72.0
529,20199883,100.0
530,20191107,88.0
531,20181205,110.0
532,20181168,88.0
533,20173991,131.0
534,20177981,84.0
535,20151230,131.0
536,20143717,91.0
537,20135770,103.0
538,20158798,79.0
539,20149298,101.0
540,20125232,97.0
541,20173388,87.0
542,20196702,104.0
543,20184187,93.0
544,20186202,141.0
545,20100301,144.0
546,20090590,119.0
547,20195791,87.0
548,20185881,129.0
549,20186324,101.0
550,20164389,102.0
551,20170669,131.0
552,20173826,97.0
553,20151003,99.0
554,20154907,91.0
555,20158483,123.0
556,20142641,106.0
557,20149569,102.0
558,20156281,89.0
559,20148553,101.0
560,20135386,105.0
561,20130483,88.0
562,20137044,123.0
563,20122784,119.0
564,20134407,108.0
565,20100043,96.0
566,20081672,108.0
567,20000049,112.0
568,20197961,121.0
569,20186707,70.0
570,20196669,111.0
571,20183391,78.0
572,20188750,114.0
573,20156554,105.0
574,20179039,89.0
575,20168323,101.0
576,20162983,75.0
577,20174042,108.0
578,20201792,98.0
579,20196705,92.0
580,20184243,113.0
581,20150977,122.0
582,20148846,125.0
583,20147282,81.0
584,20123381,108.0
585,20090670,104.0
586,20080637,109.0
587,20070042,117.0
588,20070174,93.0
589,20190621,110.0
590,20185361,112.0
591,20172642,70.0
592,20163521,121.0
593,20124060,108.0
594,20000039,86.0
595,19990061,94.0
596,19970016,97.0
597,19960049,101.0
598,20116037,118.0
599,20030402,110.0
600,19990068,98.0
601,19980019,100.0
602,19970013,100.0
603,19960034,106.0
604,19950056,105.0
605,19940063,106.0
606,19930006,109.0
607,19930020,118.0
608,19920003,115.0
609,19910059,138.0
610,19910006,100.0
611,20090138,122.0
612,19890054,112.0
613,19890011,122.0
614,20090391,101.0
615,19880029,105.0
616,19880019,102.0
617,19880011,112.0
618,19880008,98.0
619,20110014,133.0
620,19870039,105.0
621,20080698,95.0
622,20080694,110.0
623,19850039,90.0
624,19830061,106.0
625,19820036,100.0
626,19800007,95.0
627,19770056,95.0
628,20127648,95.0
629,20121086,24.0
630,20225186,95.0
