,movieCd,auditNo,watchGradeNm,watchCd
3649,19600017,,15세이상관람가,15
3650,19580020,,12세이상관람가,12
3651,19800001,,연소자관람불가,19
3652,20090930,2010-F52,전체관람가,all
3653,20060058,2005-F131,15세관람가,15
3654,19780103,,12세관람가,12
3655,20100378,2010-F271,전체관람가,all
3656,19980282,K98-273,모든 관람객이 관람할 수 있는 등급,all
3657,20101213,2010-F473 ,전체관람가,all
3658,20060086,2006-F087,전체관람가,all
3659,19990215,99-F041,18세관람가,19
3660,19990153,99-039,18세 미만인 자는 관람할 수 없는 등급,19
3661,19930245,93-421,연소자관람불가,19
3662,19920152,92-49,연소자관람가,all
3663,20153303,2016-MF01860,전체관람가,all
3664,20174983,2017-MF01829,12세이상관람가,12
3665,20180321,2018-MF00010,12세이상관람가,12
3666,20178461,2017-MF01591,전체관람가,all
3667,20206101,2020-MF00645,청소년관람불가,19
3668,20113322,2011-F594,청소년관람불가,19
3669,20126333,2012-F152,전체관람가,all
3670,20174645,2017-MF01373,12세이상관람가,12
3671,20174243,2017-MF01001,전체관람가,all
3672,20101189,2010-F457,12세이상관람가,12
3673,20160746,2017-MF01004,전체관람가,all
3674,20154342,2016-MF01658,12세이상관람가,12
3675,20161021,2016-MF01148,청소년관람불가,19
3676,20164403,2016-MF01183,청소년관람불가,19
3677,20175042,2017-MF00959,청소년관람불가,19
3678,20162802,2016-MF00125 ,청소년관람불가,19
3679,20131521,2013-MF00281 ,청소년관람불가,19
3680,19880023,88-56,연소자관람불가,19
3681,20170163,2017-MF01291,15세이상관람가,15
3682,20126088,2012-F764 ,청소년관람불가,19
3683,20168612,2017-MF00246,청소년관람불가,19
3684,20174782,2017-MF00054,청소년관람불가,19
3685,20167008,2017-MF00206,청소년관람불가,19
3686,20166132,2017-MF01243,15세이상관람가,15
3687,20181181,2018-MF01239,15세이상관람가,15
3688,20119721,2011-F94,15세이상관람가,15
3689,20070204,2007-F160,청소년관람불가,19
3690,20141963,2014-MF00952 ,청소년관람불가,19
3691,20178647,2017-MF01491,12세이상관람가,12
3692,20172641,2017-MF00350,전체관람가,all
3693,20040648,2004-F240,15세관람가,15
