,peopleCd,peopleNm,movieCd,movieNm,cast
25844,20343701,정시율,20182490,나랏말싸미,5살세손
25929,20343715,윤사비나,20182490,나랏말싸미,넋전춤
26014,20343327,남열,20182490,나랏말싸미,일본 사신단
26098,20343220,이상규,20182490,나랏말싸미,내불당 스님들
26136,20293110,정수지,20182490,나랏말싸미,궁녀3 
26266,20342777,김영건,20182490,나랏말싸미,일본 사신단
26351,20342732,김쇼우,20182490,나랏말싸미,일본사신단
26435,20111826,김영원,20182490,나랏말싸미,일본 사신단
26520,20315073,김진혁,20182490,나랏말싸미,젊은 전의 
26605,20341983,이근후,20182490,나랏말싸미,스님1
26689,20341953,고청휘,20182490,나랏말싸미,스님3
26774,20341864,고기영,20182490,나랏말싸미,왕자1
26858,20320344,김준석,20182490,나랏말싸미,일본 사신단
26943,20319533,김연,20182490,나랏말싸미,일본사신단
27028,20341540,효성스님,20182490,나랏말싸미,어산단
27113,20341274,이찬우,20182490,나랏말싸미,피리
27194,20340254,이선우,20182490,나랏말싸미,초가집 갓난아이 역
27244,10062378,정해균,20182490,나랏말싸미,고약해
27364,20339629,최민성,20182490,나랏말싸미,일본 사신단
27449,20339528,최문철,20182490,나랏말싸미,
27519,20336247,김관수,20182490,나랏말싸미,담벼락 사내
27595,20325832,금새록,20182490,나랏말싸미,진아
27703,10047275,어주선,20182490,나랏말싸미,전의
27784,10037093,송상은,20182490,나랏말싸미,평녀
27869,20337361,보휴스님,20182490,나랏말싸미,어산단
27954,20337338,김미향,20182490,나랏말싸미,초가집 시어머니
28039,20337103,배주휘,20182490,나랏말싸미,대금
28108,20172721,차래형,20182490,나랏말싸미,수양
28188,10072168,최덕문,20182490,나랏말싸미,정인지
28281,20235406,윤정일,20182490,나랏말싸미,안평
28368,10079524,탕준상,20182490,나랏말싸미,학조
28457,10050988,오현경,20182490,나랏말싸미,노승
28535,20151575,박동혁,20182490,나랏말싸미,정창손
28656,20339145,윤승훈,20150976,신과함께-죄와 벌,입구위병2
28683,20202246,성유빈,20150976,신과함께-죄와 벌,어린 자홍
28727,20133615,이준혁,20150976,신과함께-죄와 벌,박중위
28744,10006228,김향기,20150976,신과함께-죄와 벌,덕춘
28795,10057315,이정재,20150976,신과함께-죄와 벌,염라대왕 
28829,10021341,마동석,20150976,신과함께-죄와 벌,성주신
28876,10060043,장광,20150976,신과함께-죄와 벌,진광대왕
28934,20196246,김기태,20150976,신과함께-죄와 벌,귀왕대 
28984,20322111,강길우,20150976,신과함께-죄와 벌,자홍부상자1
29017,10049950,예수정,20150976,신과함께-죄와 벌,자홍 모
29062,20159884,오희준,20150976,신과함께-죄와 벌,통역사병
29085,10058708,임원희,20150976,신과함께-죄와 벌,
29157,20132409,박윤호,20150976,신과함께-죄와 벌,말벌집주인
29178,20294389,강소백,20150976,신과함께-죄와 벌,군부대원들
29243,20314345,김지나,20150976,신과함께-죄와 벌,소녀의 어머니
29276,20331892,임철수,20150976,신과함께-죄와 벌,동료소방관3
29309,20148715,김태준,20150976,신과함께-죄와 벌,동료소방관
29329,10087253,하정우,20150976,신과함께-죄와 벌,강림
29391,20195894,이승준,20150976,신과함께-죄와 벌,불의지옥망자
29419,20209526,도경수,20150976,신과함께-죄와 벌,원일병
29494,20344535,양지수,20150976,신과함께-죄와 벌,강림 스탠드인
29534,20336307,김그림,20150976,신과함께-죄와 벌,박중위 아내
29575,20345374,정순원,20150976,신과함께-죄와 벌,초소사병1
29602,20232351,이지향,20150976,신과함께-죄와 벌,덕춘 스탠드인
29657,10004218,김민종,20150976,신과함께-죄와 벌,저승차사
29679,10054755,이경영,20150976,신과함께-죄와 벌,
29736,10053754,유수빈,20150976,신과함께-죄와 벌,초소사병2 
29784,20335333,홍인,20150976,신과함께-죄와 벌,동료소방관2
29801,10062378,정해균,20150976,신과함께-죄와 벌,
29865,20332312,나철,20150976,신과함께-죄와 벌,클럽문신남
29886,20153744,김수안,20150976,신과함께-죄와 벌,태산대왕
29947,20331368,윤지온,20150976,신과함께-죄와 벌,수홍부대원2
29964,10003967,김동욱,20150976,신과함께-죄와 벌,수홍
30024,20235446,정지훈,20150976,신과함께-죄와 벌,허현동
30045,10069179,주지훈,20150976,신과함께-죄와 벌,해원맥
30101,20294909,최용훈,20150976,신과함께-죄와 벌,군부대원들
30134,10050151,오달수,20150976,신과함께-죄와 벌,
30184,10006171,김하늘,20150976,신과함께-죄와 벌,
30212,10071209,차태현,20150976,신과함께-죄와 벌,자홍
30266,10006221,김해숙,20150976,신과함께-죄와 벌,
30333,20339145,윤승훈,20162181,프리즌,성안교도소 죄수일동
30355,20190036,연송하,20162181,프리즌,내연녀
30408,20276090,한이진,20162181,프리즌,계식
30440,10061276,전배수,20162181,프리즌,보안과장
30454,10066926,조재윤,20162181,프리즌,홍표
30527,20344112,이민혁,20162181,프리즌,성안교도소 일동
30554,20239308,현봉식,20162181,프리즌,아구패거리
30600,20295749,임용순,20162181,프리즌,순시단
30643,20346998,엄지만,20162181,프리즌,경찰특공대간부
30670,20246269,서호철,20162181,프리즌,홍표패거리
30715,20314020,권혁범,20162181,프리즌,아구패거리
30755,20262392,최현종,20162181,프리즌,성안교도소 죄수일동
30780,20186308,이정수,20162181,프리즌,캉웨이
30836,20111220,유정호,20162181,프리즌,서기태
30874,20313412,박중금,20162181,프리즌,창길패거리
30909,10089421,홍기준,20162181,프리즌,법당죄수
30919,10087518,한석규,20162181,프리즌,정익호
30981,10005693,차엽,20162181,프리즌,백정
31024,20332597,배명진,20162181,프리즌,교도관
31062,10004841,김승훈,20162181,프리즌,황교사
31077,10062050,정웅인,20162181,프리즌,강소장
31115,10004028,김래원,20162181,프리즌,송유건
31175,20273690,이재균,20162181,프리즌,차교도
31198,20227748,박영준,20162181,프리즌,캉웨이패거리2
31247,20290383,이재수,20162181,프리즌,통제실교도관2
31285,20290337,이용직,20162181,프리즌,권과장
31314,20203230,곽민호,20162181,프리즌,학규
31352,10040416,신성록,20162181,프리즌,창길
31488,20339145,윤승훈,20152371,"당신, 거기 있어줄래요",서울역 군인
31497,20186265,이유미,20152371,"당신, 거기 있어줄래요",연아 동물협회 직원
31519,10006424,김호정,20152371,"당신, 거기 있어줄래요",혜원
31538,20147110,변요한,20152371,"당신, 거기 있어줄래요",젊은 수현
31561,10005276,김윤석,20152371,"당신, 거기 있어줄래요",수현
31600,10060043,장광,20152371,"당신, 거기 있어줄래요",수현 부
31628,20113591,박희본,20152371,"당신, 거기 있어줄래요",젊은 혜원
31649,20333913,김선아,20152371,"당신, 거기 있어줄래요",선영
31677,10062134,정인기,20152371,"당신, 거기 있어줄래요",윤과장
31690,20253678,윤진영,20152371,"당신, 거기 있어줄래요",돌고래쇼 영업부장
31719,10005839,김지영,20152371,"당신, 거기 있어줄래요",수의사
31732,10004448,김상호,20152371,"당신, 거기 있어줄래요",태호
