,movieCd,typeNm
1351,20128687,장편
1352,19990158,장편
1353,20212705,장편
1354,20210689,장편
1355,20138561,장편
1356,20151063,장편
1357,20209185,장편
1358,20160501,장편
1359,20181434,장편
1360,20173993,장편
1361,20219446,옴니버스
1362,20134474,장편
1363,20201691,장편
1364,20174266,장편
1365,20183424,장편
1366,19830062,장편
1367,19800054,장편
1368,19800031,장편
1369,19770030,장편
1370,19770018,장편
1371,20162022,장편
1372,20129787,장편
1373,20113231,장편
1374,20111686,장편
1375,20101345,장편
1376,20101233,옴니버스
1377,20100234,옴니버스
1378,20209430,장편
1379,20211581,장편
1380,20174663,장편
1381,20148534,옴니버스
1382,20153803,장편
1383,20181199,장편
1384,20135405,장편
1385,20218647,장편
1386,20162541,장편
1387,20141001,장편
1388,20183358,장편
1389,20177962,장편
1390,20155324,장편
1391,20140193,장편
1392,20060229,장편
1393,20050013,장편
1394,20191783,장편
1395,20159447,장편
1396,20159422,장편
1397,20149457,장편
1398,20134082,장편
1399,20158481,장편
1400,20147987,장편
1401,20110290,장편
1402,20166541,장편
1403,20155321,장편
1404,20154906,장편
1405,20130482,장편
1406,20124934,장편
1407,20080394,장편
1408,20218909,장편
1409,20201786,장편
1410,20173962,장편
1411,20141609,장편
1412,20147931,장편
1413,20136043,장편
1414,20124045,장편
1415,20090914,장편
1416,20195963,옴니버스
1417,20158742,장편
1418,19930402,장편
1419,20060262,장편
1420,20206190,장편
1421,20184678,장편
1422,20190804,장편
1423,20181104,장편
1424,20206464,장편
1425,20070289,장편
1426,20223326,장편
1427,20183381,장편
1428,20173995,장편
1429,20120110,장편
1430,20124049,장편
1431,20124058,장편
1432,20113312,장편
1433,20101344,장편
1434,20100981,장편
1435,20101004,장편
1436,20100264,장편
1437,20090669,장편
1438,20061221,장편
1439,20070544,장편
1440,20070109,장편
1441,20060224,장편
1442,20060191,장편
1443,20050344,장편
1444,20050346,장편
1445,20060176,장편
1446,20040788,장편
1447,20040608,장편
1448,20111874,장편
1449,20070490,장편
1450,19750008,장편
1451,20000008,장편
1452,20161744,장편
1453,20184543,장편
1454,20193068,장편
1455,20152746,장편
1456,20208261,장편
1457,20202462,장편
1458,20145504,장편
1459,20126087,장편
1460,20143509,장편
1461,20210756,장편
1462,20171164,장편
1463,20186652,장편
1464,19820056,장편
1465,20133569,장편
1466,20119890,장편
1467,20204388,장편
1468,20200292,장편
1469,20184961,장편
1470,20211241,장편
1471,20190665,장편
1472,20209184,장편
1473,20205258,장편
1474,20181172,장편
1475,20080042,장편
1476,20199815,장편
1477,20020122,장편
1478,20209182,장편
1479,20217102,장편
1480,20078584,장편
1481,20148494,장편
1482,20070305,장편
1483,20155301,장편
1484,19760023,장편
1485,20211700,옴니버스
1486,20210038,장편
1487,19820110,장편
