,movieCd,movieNm,movieNmEn,openDt,repNationNm,genreCd,companys
212,20184462,봉오동 전투,The Battle: Roar to Victory,20190807,한국,2,(주)빅스톤픽쳐스
213,20183096,생일,Birthday,20190403,한국,5,나우필름(주)
214,20173732,살아남은 아이,Last Child,20180830,한국,5,(주)아토
215,20174142,아이 캔 스피크,I Can Speak ,20170921,한국,7,주식회사 영화사 시선
216,20145171,대호,The Tiger,20151216,한국,2,(주)사나이픽처스
217,20130021,"협녀, 칼의 기억",Memories of the Sword ,20150813,한국,2,(주)티피에스컴퍼니
218,20136063,순수의 시대,Empire of Lust,20150305,한국,2,(주)화인웍스
219,20148626,나의 독재자,My Dictator,20141030,한국,5,반짝반짝영화사(주)
220,20139183,역린,The Fatal Encounter,20140430,한국,2,굿초이스컷픽쳐스(주)
221,20136049,숨바꼭질,Hide and Seek,20130814,한국,10,(주)드림캡쳐
222,20050018,숨바꼭질,Hide And Seek,20050225,미국,5,투엔티쓰 센츄리-폭스 필름 코퍼레이션
223,20126672,은밀하게 위대하게,Secretly Greatly,20130605,한국,0,(주)엠씨엠씨
224,20129368,파파로티,My Paparotti,20130314,한국,5,케이엠컬쳐㈜
225,20127568,세계일주,The Trip Around the World,20150326,한국,12,(주)쿠나
226,20110295,마이 웨이,My Way,20111221,한국,11,(주)디렉터스
227,20112695,완득이,Punch,20111020,한국,5,(주)유비유필름
228,20110297,블라인드,Blind,20110810,한국,10,(주)문와쳐
229,20196676,종이꽃,Paper Flower,20201022,한국,5,(주)로드픽쳐스
230,20142405,CCTV,CCTV,20210707,한국,8,채널맥
231,20184482,국제수사,The Golden Holiday,20200929,한국,7,(주)영화사장춘
232,20208045,강철비2 : 정상회담 확장판,Steel Rain2: Summit (Director's Cut),20200930,한국,5,(주)스튜디오게니우스우정
233,20196271,강철비2: 정상회담,Steel Rain2: Summit,20200729,한국,5,(주)스튜디오게니우스우정
234,20170402,강철비,Steel Rain,20171214,한국,0,(주)와이웍스엔터테인먼트
235,20162871,특별시민,The Mayor,20170426,한국,5,(주)팔레트픽처스
236,20153443,아수라,Asura : The City of Madness,20160928,한국,4,(주)사나이픽처스
237,20140194,곡성,THE WAILING,20160512,한국,13,(주)사이드미러
238,20144442,조선마술사,The Magician,20151230,한국,5,위더스필름(주)
239,20130566,무뢰한,The Shameless,20150527,한국,1,(주)사나이픽처스
240,20149312,살인캠프,Barracks,20150305,한국,10,핸드메이드 필름
241,20137043,남자가 사랑할 때,Man In Love,20140122,한국,1,(주)사나이픽처스
242,20134803,변호인,The Attorney,20131218,한국,5,위더스필름(주)
243,20128747,분노의 윤리학,An Ethics Lesson,20130221,한국,10,(주)티피에스컴퍼니
244,20124083,베를린,The Berlin File,20130130,한국,0,(주)외유내강
245,20113886,회사원,A Company Man,20121011,한국,0,영화사심미안(주)
246,20113887,점쟁이들,Ghost Sweepers,20121003,한국,7,(주)사람엔터테인먼트
247,20113557,범죄와의 전쟁: 나쁜놈들 전성시대,Nameless Gangster : Rules of the Time,20120202,한국,4,(주)팔레트픽처스
248,20216432,최면,The Hypnosis,20210324,한국,8,(주)스마일이엔티
249,20200566,거래완료,Good Deal,20221006,한국,5,한국예술종합학교 산학협력단
250,20198161,미드나이트,Midnight,20210630,한국,10,(주)페퍼민트앤컴퍼니
251,20153085,캠핑,Camping,20160901,한국,10,(주)영화사단막극장
252,20196410,비상선언,Emergency Declaration,20220803,한국,5,(주)매그넘나인
253,20202185,방법: 재차의,The Cursed: Dead Man’s Prey,20210728,한국,13,클라이맥스 스튜디오(주)
254,20190683,아무도 없는 곳,Shades of the Heart,20210331,한국,5,볼미디어(주) 
255,20209132,달이 지는 밤,Vestige,20220922,한국,5,(재)무주산골문화재단
256,20201002,조제,Josée,20201210,한국,1,볼미디어(주) 
257,20190461,프랑스여자,A French Woman,20200604,한국,5,(주)인벤트스톤
258,20183727,한낮의 피크닉,A Midday Picnic,20190704,한국,5,서울독립영화제
259,20211792,헌트,HUNT,20220810,한국,0,(주)아티스트스튜디오
260,20184341,얼굴없는 보스,The Faceless Boss,20191121,한국,0,(주)좋은 하늘
261,20166602,그대 이름은 장미,ROSEBUD,20190116,한국,7,(주)엠씨엠씨
262,20199630,어른들은 몰라요,Young Adult Matters,20210415,한국,5,(주)돈키호테엔터테인먼트
263,19880039,어른들은 몰라요,Grown-Ups Just Don'T Understand,19880701,한국,5,태흥영화(주)
264,20194424,소리도 없이,Voice of Silence,20201015,한국,4,(주)루이스 픽쳐스
265,20090888,용서는 없다,No Mercy,20100107,한국,4,㈜더드림앤드픽쳐스
266,20198484,나를 구하지 마세요,Please Don't Save Me,20200910,한국,5,(주)아우라픽처스
267,20168773,마약왕,The Drug King,20181219,한국,4,(주)하이브미디어코프
268,20217124,성적표의 김민영,Kim Min-young of the Report Card,20220908,한국,5,탁구필름
269,20226220,둠둠,Doom Doom,20220915,한국,5,(주)이스트게이트컴퍼니
270,19780029,고교명랑교실,Cheerful High School Class,19780617,한국,5,한진흥업주식회사
271,20217807,해피 뉴 이어,A YEAR-END MEDLEY,20211229,한국,1,(주)하이브미디어코프
272,20181301,사범,The Master : Leaders of Taekwondo,20190627,한국,6,(주)26컴퍼니
273,20183128,비행,Dreamer,20200319,한국,5,㈜ 써드아이비디오
274,20174981,창궐,Rampant,20181025,한국,2,리양필름(주)
275,19990140,인생은 아름다워,Life Is Beautiful,19990306,이탈리아,5,체키고리그룹 타이거키네마토그라피카
276,20143081,그 사람 그 사랑 그 세상,He Who Loves the World,20141120,한국,6,KBS
277,20090581,부산,City Of Fathers,20091015,한국,0,(주)오죤필름
278,20190727,죽도 서핑 다이어리,Jukdo Surfing Diary,20200507,한국,5,스튜디오블루(주)
279,20196716,유령선,Ghost Ship,20200415,한국,6,(주)왝더독
280,20186651,뷰티풀 보이스,Beautiful Voice,20190522,한국,7,(주)그래그거
281,20178190,"이,기적인 남자",MR. EGOTISTIC,20181025,한국,5,브릿지 프로덕션
282,20169348,대립군,WARRIORS OF THE DAWN,20170531,한국,5,리얼라이즈픽쳐스(주)
283,20160472,두 남자,Derailed,20161130,한국,4,(주)엠씨엠씨
284,19710091,두 남자,Two Guys,19710430,한국,5,새한필림
285,20150970,범죄의 여왕,The Queen of Crime,20160825,한국,10,광화문시네마
286,20150969,궁합,The Princess and the Matchmaker,20180228,한국,7,(주)주피터필름
287,20173903,역모-반란의 시대,The Age of Blood,20171123,한국,2,Picsso
288,20150902,대배우,THE GREAT ACTOR,20160330,한국,7,주식회사 영화사다
289,20144441,섬. 사라진 사람들,NO TOMORROW,20160303,한국,10,시네마팩토리
290,20140144,도리화가,THE SOUND OF A FLOWER,20151125,한국,2,(주)영화사 담담
291,20132799,족구왕,The King of Jokgu,20140821,한국,7,광화문시네마
292,20204548,범죄도시 2,The Roundup,20220518,한국,4,주식회사 빅펀치픽쳐스
293,20223939,부기나이트,BOOGIE NIGHTS,20220428,한국,7,(주)콘텐츠지
294,19990147,부기나이트,Boogie Nights,19990320,미국,5,고라디필름컴퍼니
295,20185985,광대들: 풍문조작단,Jesters: The Game Changers,20190821,한국,2,(주)영화사심플렉스
296,20185353,기방도령,HOMME FATALE,20190710,한국,7,주식회사 브레인샤워
297,20198453,롱 리브 더 킹: 목포 영웅,Long Live the King,20190619,한국,0,(주)영화사 필름몬스터
298,20172742,범죄도시,THE OUTLAWS,20171003,한국,4,(주)홍필름
299,20167867,그물,THE NET,20161006,한국,5,(주)김기덕 필름
300,20192194,인질,Hostage: Missing Celebrity,20210818,한국,0,(주)외유내강
301,20180361,귀신의 향기,Scent of Ghost,20190703,한국,8,(주)스튜디오후크
302,20171681,박화영,Park Hwa-young,20180719,한국,5,명필름랩
303,20180282,속닥속닥,The Whispering,20180713,한국,8,(주)파이브데이
304,20165181,아웃도어 비긴즈,Outdoor Begins,20180521,한국,7,노센스필름
305,20158824,프랑스 영화처럼,Like a French Film,20160114,한국,5,(주) 루스이소니도스
306,20148685,조류인간,The Avian Kind,20150226,한국,5,(주) 루스이소니도스
307,20134124,배우는 배우다,Rough Play,20131024,한국,5,(주) 루스이소니도스
308,20123383,화이: 괴물을 삼킨 아이,Hwayi: A Monster Boy,20131009,한국,0,나우필름(주)
309,20127526,러시안 소설,The Russian Novel,20130919,한국,5,(주) 루스이소니도스
310,20124013,청포도 사탕: 17년 전의 약속,Grape Candy,20120906,한국,5,(주)인벤트스톤
311,20101222,황해,The Yellow Sea,20101222,한국,10,㈜팝콘필름
312,20138223,노브레싱,No Breathing,20131030,한국,5,(주)영화사유랑
313,20183772,태일이,Chun Tae-il,20211201,한국,15,(주)명필름
314,20209021,런 보이 런,RUN BOY RUN,20200528,한국,5,(주)라온컴퍼니플러스
315,20203673,시니어퀸 : 58년 개띠 여고동창생,Senior Queen,20210511,한국,5,시네마테크 충무로
316,20147952,아웃사이더,OUTSIDER,20140724,한국,5,스마일픽쳐스
317,20134694,에덴,EDEN,20131024,한국,1,스마일픽쳐스
318,20176103,돈,Money,20190320,한국,4,(주)사나이픽처스
319,19580069,돈,The Money,19500309,한국,5,김프로덕션
320,20180868,뺑반,Hit-and-Run Squad,20190130,한국,4,호두앤유픽쳐스(주)
321,20170841,리틀 포레스트,Little Forest,20180228,한국,5,(주)영화사수박
322,20151229,더 킹,The King,20170118,한국,4,(주)매그넘나인
323,20010032,더 킹,The King,20010505,한국,15,투니파크(주)
324,20156559,계춘할망,Canola,20160519,한국,12,지오엔터테인먼트
325,20155390,양치기들,The Boys Who Cried Wolf,20160602,한국,5,한국영화아카데미
326,20159643,글로리데이,One Way Trip,20160324,한국,5,(주)보리픽쳐스
327,20157466,"로봇, 소리",SORI: Voice from the Heart,20160127,한국,5,(주)영화사 좋은날
328,20141602,소셜포비아,Socialphobia,20150312,한국,10,한국영화아카데미
