keywordId,movieId
392 ,13971 
392 ,16372 
392 ,18229 
392 ,25476 
392 ,26774 
392 ,28437 
392 ,28715 
392 ,29572 
392 ,35052 
392 ,36194 
392 ,41996 
392 ,43875 
392 ,45322 
392 ,48207 
392 ,56942 
392 ,58760 
392 ,77949 
392 ,81110 
392 ,103269 
392 ,106851 
392 ,259693 
392 ,314065 
392 ,391934 
393 ,770 
393 ,1439 
393 ,2143 
393 ,6106 
393 ,8929 
393 ,27854 
393 ,270015 
394 ,471 
394 ,29572 
394 ,89984 
394 ,169842 
395 ,299 
395 ,493 
395 ,541 
395 ,990 
395 ,10220 
395 ,19118 
395 ,24068 
395 ,26390 
395 ,39327 
395 ,42678 
395 ,43438 
395 ,43597 
395 ,84305 
395 ,97991 
395 ,397442 
396 ,26888 
402 ,8452 
407 ,914 
407 ,3063 
407 ,6106 
407 ,11667 
407 ,17894 
407 ,27380 
409 ,2989 
409 ,4460 
409 ,8929 
409 ,11385 
409 ,11430 
409 ,38618 
409 ,43388 
409 ,352208 
414 ,45215 
416 ,584 
416 ,30877 
416 ,72823 
417 ,66 
417 ,247 
417 ,709 
417 ,1428 
417 ,1717 
417 ,2118 
417 ,2359 
417 ,4984 
417 ,9040 
417 ,10774 
417 ,11028 
417 ,11934 
417 ,13161 
417 ,15239 
417 ,15600 
417 ,17365 
417 ,22023 
417 ,25476 
417 ,25550 
417 ,26185 
417 ,26390 
417 ,42267 
417 ,43942 
417 ,46027 
417 ,46351 
417 ,49981 
417 ,55044 
417 ,61903 
417 ,68197 
417 ,142012 
417 ,152599 
417 ,169298 
417 ,183258 
417 ,328796 
420 ,30624 
420 ,34334 
422 ,9967 
422 ,10590 
422 ,14286 
422 ,19855 
422 ,53157 
422 ,94380 
422 ,105503 
428 ,148 
428 ,3576 
428 ,9913 
428 ,10034 
428 ,26976 
428 ,27029 
428 ,27439 
428 ,31445 
428 ,40028 
428 ,45657 
428 ,51571 
428 ,52440 
428 ,98289 
428 ,333381 
436 ,30295 
436 ,94727 
436 ,248639 
437 ,11453 
437 ,17058 
437 ,49225 
437 ,59436 
437 ,96935 
437 ,118534 
437 ,214075 
439 ,17 
439 ,353433 
440 ,546 
440 ,27029 
440 ,61369 
441 ,66 
441 ,667 
441 ,691 
441 ,708 
441 ,820 
441 ,1849 
441 ,1883 
441 ,4349 
441 ,9331 
441 ,17365 
441 ,18019 
441 ,22672 
441 ,64494 
444 ,339 
444 ,1538 
444 ,11228 
444 ,14886 
444 ,15698 
444 ,17221 
444 ,20644 
444 ,31993 
444 ,44668 
445 ,290250 
447 ,506 
447 ,560 
447 ,127560 
447 ,293767 
447 ,369366 
449 ,148 
449 ,4462 
455 ,20 
455 ,471 
455 ,688 
455 ,838 
455 ,2196 
456 ,11360 
456 ,49803 
456 ,77875 
456 ,109453 
456 ,340103 
457 ,20 
458 ,9040 
458 ,27313 
458 ,32037 
459 ,10998 
460 ,5183 
467 ,339 
470 ,253 
470 ,681 
470 ,691 
470 ,708 
470 ,714 
470 ,3063 
470 ,4889 
470 ,9331 
470 ,16284 
470 ,26357 
470 ,26578 
470 ,28426 
470 ,34944 
470 ,34945 
470 ,38681 
470 ,43833 
470 ,47155 
470 ,50761 
470 ,52358 
470 ,53853 
470 ,61541 
470 ,73420 
470 ,74911 
470 ,79466 
470 ,91265 
470 ,94641 
470 ,96793 
470 ,105056 
470 ,120837 
470 ,139718 
470 ,153397 
470 ,183932 
470 ,207703 
470 ,208434 
470 ,215579 
470 ,224600 
470 ,259557 
470 ,326723 
470 ,341013 
471 ,117856 
477 ,31713 
477 ,43597 
478 ,714 
478 ,875 
478 ,899 
478 ,2029 
478 ,6687 
478 ,19606 
478 ,41847 
478 ,82096 
478 ,148318 
478 ,311324 
483 ,431 
483 ,437 
483 ,438 
483 ,2071 
485 ,19606 
486 ,38006 
486 ,211088 
487 ,691 
487 ,9063 
487 ,69035 
490 ,605 
490 ,34996 
490 ,38987 
493 ,4421 
494 ,321 
494 ,400 
494 ,546 
494 ,806 
494 ,1439 
494 ,1896 
494 ,2001 
494 ,2196 
494 ,2252 
494 ,2698 
494 ,6973 
494 ,8272 
494 ,9685 
494 ,10067 
494 ,11012 
494 ,11834 
494 ,25848 
